Season,Team,HomeAgainst,HomeFor,For,Against,HomeResult,Result,AwayFor,AwayAgainst,AwayResult
2000,ANA,5.320987654320987,5.54320987654321,5.333333333333333,5.364197530864198,0.5679012345679012,0.5061728395061729,5.1234567901234565,5.407407407407407,0.4444444444444444
2000,ARI,4.666666666666667,5.0246913580246915,4.888888888888889,4.654320987654321,0.5802469135802469,0.5246913580246914,4.753086419753086,4.6419753086419755,0.4691358024691358
2000,ATL,4.395061728395062,5.0,5.0,4.407407407407407,0.6296296296296297,0.5864197530864198,5.0,4.419753086419753,0.5432098765432098
2000,BAL,5.160493827160494,4.802469135802469,4.901234567901234,5.635802469135802,0.5432098765432098,0.4567901234567901,5.0,6.111111111111111,0.37037037037037035
2000,BOS,4.691358024691358,4.864197530864198,4.888888888888889,4.598765432098766,0.5185185185185185,0.5246913580246914,4.91358024691358,4.506172839506172,0.5308641975308642
2000,CHA,5.308641975308642,6.469135802469136,6.037037037037037,5.179012345679013,0.5679012345679012,0.5864197530864198,5.604938271604938,5.049382716049383,0.6049382716049383
2000,CHN,4.802469135802469,4.407407407407407,4.716049382716049,5.580246913580247,0.4691358024691358,0.4012345679012346,5.0246913580246915,6.3580246913580245,0.3333333333333333
2000,CIN,5.098765432098766,5.382716049382716,5.074074074074074,4.703703703703703,0.5308641975308642,0.5246913580246914,4.765432098765432,4.308641975308642,0.5185185185185185
2000,CLE,5.0,6.08641975308642,5.864197530864198,5.037037037037037,0.5925925925925926,0.5555555555555556,5.6419753086419755,5.074074074074074,0.5185185185185185
2000,COL,6.555555555555555,7.814814814814815,5.9753086419753085,5.537037037037037,0.5925925925925926,0.5061728395061729,4.135802469135802,4.518518518518518,0.41975308641975306
2000,DET,4.851851851851852,4.9753086419753085,5.080246913580247,5.104938271604938,0.5308641975308642,0.4876543209876543,5.185185185185185,5.3580246913580245,0.4444444444444444
2000,FLO,4.6419753086419755,4.432098765432099,4.540372670807454,4.950310559006211,0.5308641975308642,0.4906832298136646,4.65,5.2625,0.45
2000,HOU,6.172839506172839,6.234567901234568,5.790123456790123,5.827160493827161,0.48148148148148145,0.4444444444444444,5.345679012345679,5.481481481481482,0.4074074074074074
2000,KCA,6.0246913580246915,5.567901234567901,5.425925925925926,5.7407407407407405,0.5185185185185185,0.47530864197530864,5.283950617283951,5.45679012345679,0.43209876543209874
2000,LAN,4.197530864197531,4.407407407407407,4.925925925925926,4.5,0.5432098765432098,0.5308641975308642,5.444444444444445,4.802469135802469,0.5185185185185185
2000,MIL,4.814814814814815,4.407407407407407,4.549382716049383,5.080246913580247,0.5185185185185185,0.4506172839506173,4.691358024691358,5.345679012345679,0.38271604938271603
2000,MIN,5.703703703703703,5.074074074074074,4.617283950617284,5.432098765432099,0.4444444444444444,0.42592592592592593,4.160493827160494,5.160493827160494,0.4074074074074074
2000,MON,5.493827160493828,4.580246913580247,4.555555555555555,5.567901234567901,0.4567901234567901,0.41358024691358025,4.530864197530864,5.6419753086419755,0.37037037037037035
2000,NYA,5.15,5.675,5.409937888198757,5.055900621118012,0.55,0.5403726708074534,5.148148148148148,4.962962962962963,0.5308641975308642
2000,NYN,4.037037037037037,4.839506172839506,4.981481481481482,4.555555555555555,0.6790123456790124,0.5802469135802469,5.1234567901234565,5.074074074074074,0.48148148148148145
2000,OAK,4.666666666666667,5.753086419753086,5.881987577639752,5.049689440993789,0.5802469135802469,0.5652173913043478,6.0125,5.4375,0.55
2000,PHI,5.234567901234568,4.506172839506172,4.37037037037037,5.1234567901234565,0.41975308641975306,0.4012345679012346,4.234567901234568,5.012345679012346,0.38271604938271603
2000,PIT,5.320987654320987,4.888888888888889,4.895061728395062,5.481481481481482,0.4567901234567901,0.42592592592592593,4.901234567901234,5.6419753086419755,0.3950617283950617
2000,SDN,4.432098765432099,4.308641975308642,4.6419753086419755,5.030864197530864,0.5061728395061729,0.4691358024691358,4.9753086419753085,5.62962962962963,0.43209876543209874
2000,SEA,4.296296296296297,5.160493827160494,5.598765432098766,4.814814814814815,0.5802469135802469,0.5617283950617284,6.037037037037037,5.333333333333333,0.5432098765432098
2000,SFN,3.7777777777777777,5.567901234567901,5.709876543209877,4.611111111111111,0.6790123456790124,0.5987654320987654,5.851851851851852,5.444444444444445,0.5185185185185185
2000,SLN,4.839506172839506,5.407407407407407,5.4753086419753085,4.7592592592592595,0.6172839506172839,0.5864197530864198,5.54320987654321,4.679012345679013,0.5555555555555556
2000,TBA,5.4125,4.3625,4.552795031055901,5.229813664596273,0.45,0.42857142857142855,4.7407407407407405,5.049382716049383,0.4074074074074074
2000,TEX,5.950617283950617,5.802469135802469,5.234567901234568,6.012345679012346,0.5185185185185185,0.4382716049382716,4.666666666666667,6.074074074074074,0.35802469135802467
2000,TOR,5.728395061728395,5.37037037037037,5.314814814814815,5.604938271604938,0.5555555555555556,0.5123456790123457,5.2592592592592595,5.481481481481482,0.4691358024691358
2001,ANA,4.925925925925926,4.444444444444445,4.265432098765432,4.506172839506172,0.48148148148148145,0.46296296296296297,4.08641975308642,4.08641975308642,0.4444444444444444
2001,ARI,4.54320987654321,5.222222222222222,5.049382716049383,4.179012345679013,0.5925925925925926,0.5679012345679012,4.8765432098765435,3.814814814814815,0.5432098765432098
2001,ATL,4.197530864197531,4.37037037037037,4.5,3.9691358024691357,0.49382716049382713,0.5432098765432098,4.62962962962963,3.740740740740741,0.5925925925925926
2001,BAL,4.8375,3.7625,4.260869565217392,5.142857142857143,0.375,0.391304347826087,4.753086419753086,5.444444444444445,0.4074074074074074
