Season,Team,HomeFor,HomeAgainst,AwayFor,AwayAgainst,For,Against,HomeResult,AwayResult,Result
2009,Arsenal,2.526315789473684,0.7894736842105263,1.8421052631578947,1.368421052631579,2.1842105263157894,1.0789473684210527,0.8245614035087719,0.4912280701754386,0.6578947368421052
2009,Aston Villa,1.5263157894736843,0.8421052631578947,1.2105263157894737,1.2105263157894737,1.368421052631579,1.0263157894736843,0.5614035087719299,0.5614035087719298,0.5614035087719299
2009,Birmingham,1.0,0.6842105263157895,1.0,1.7894736842105263,1.0,1.236842105263158,0.5789473684210527,0.2982456140350877,0.4385964912280702
2009,Blackburn,1.4736842105263157,0.9473684210526315,0.6842105263157895,1.9473684210526316,1.0789473684210527,1.4473684210526316,0.631578947368421,0.2456140350877193,0.4385964912280703
2009,Bolton,1.368421052631579,1.631578947368421,0.8421052631578947,1.894736842105263,1.105263157894737,1.763157894736842,0.42105263157894735,0.2631578947368421,0.3421052631578948
2009,Burnley,1.3157894736842106,1.5789473684210527,0.8947368421052632,2.736842105263158,1.105263157894737,2.1578947368421053,0.45614035087719285,0.07017543859649122,0.26315789473684204
2009,Chelsea,3.5789473684210527,0.7368421052631579,1.8421052631578947,0.9473684210526315,2.710526315789474,0.8421052631578947,0.9122807017543859,0.5964912280701754,0.7543859649122805
2009,Everton,1.8421052631578947,1.105263157894737,1.3157894736842106,1.4736842105263157,1.5789473684210527,1.2894736842105263,0.6842105263157896,0.3859649122807017,0.5350877192982456
2009,Fulham,1.4210526315789473,0.7894736842105263,0.631578947368421,1.631578947368421,1.0263157894736843,1.2105263157894737,0.631578947368421,0.1754385964912281,0.40350877192982465
2009,Hull,1.1578947368421053,1.5263157894736843,0.631578947368421,2.4210526315789473,0.8947368421052632,1.9736842105263157,0.42105263157894735,0.10526315789473684,0.26315789473684215
2009,Liverpool,2.263157894736842,0.7894736842105263,0.9473684210526315,1.0526315789473684,1.605263157894737,0.9210526315789473,0.7368421052631579,0.3684210526315789,0.5526315789473683
2009,Man City,2.1578947368421053,1.0526315789473684,1.6842105263157894,1.3157894736842106,1.9210526315789473,1.1842105263157894,0.7017543859649124,0.4736842105263159,0.5877192982456139
2009,Man United,2.736842105263158,0.631578947368421,1.7894736842105263,0.8421052631578947,2.263157894736842,0.7368421052631579,0.8596491228070177,0.631578947368421,0.7456140350877193
2009,Portsmouth,1.263157894736842,1.6842105263157894,0.5263157894736842,1.7894736842105263,0.8947368421052632,1.736842105263158,0.3157894736842105,0.1754385964912281,0.2456140350877193
2009,Stoke,1.263157894736842,1.105263157894737,0.5263157894736842,1.4210526315789473,0.8947368421052632,1.263157894736842,0.47368421052631576,0.3508771929824561,0.4122807017543861
2009,Sunderland,1.6842105263157894,1.0,0.8421052631578947,1.9473684210526316,1.263157894736842,1.4736842105263157,0.5964912280701754,0.17543859649122806,0.3859649122807018
2009,Tottenham,2.1052631578947367,0.631578947368421,1.4210526315789473,1.5263157894736843,1.763157894736842,1.0789473684210527,0.7719298245614035,0.45614035087719296,0.614035087719298
2009,West Ham,1.5789473684210527,1.5263157894736843,0.8947368421052632,1.9473684210526316,1.236842105263158,1.736842105263158,0.45614035087719296,0.15789473684210525,0.3070175438596492
2009,Wigan,1.0,1.263157894736842,0.9473684210526315,2.8947368421052633,0.9736842105263158,2.0789473684210527,0.4385964912280701,0.1929824561403509,0.3157894736842105
2009,Wolves,0.6842105263157895,1.1578947368421053,1.0,1.7894736842105263,0.8421052631578947,1.4736842105263157,0.3684210526315789,0.2982456140350877,0.33333333333333337
2010,Arsenal,1.736842105263158,0.7894736842105263,2.0526315789473686,1.4736842105263157,1.894736842105263,1.131578947368421,0.6491228070175439,0.543859649122807,0.5964912280701753
2010,Aston Villa,1.368421052631579,1.0,1.1578947368421053,2.1052631578947367,1.263157894736842,1.5526315789473684,0.543859649122807,0.29824561403508776,0.42105263157894746
2010,Birmingham,1.0,1.1578947368421053,0.9473684210526315,1.894736842105263,0.9736842105263158,1.5263157894736843,0.45614035087719296,0.22807017543859648,0.34210526315789486
2010,Blackburn,1.1578947368421053,0.8421052631578947,1.263157894736842,2.263157894736842,1.2105263157894737,1.5526315789473684,0.4912280701754385,0.2631578947368421,0.37719298245614036
2010,Blackpool,1.5789473684210527,1.9473684210526316,1.3157894736842106,2.1578947368421053,1.4473684210526316,2.0526315789473686,0.3508771929824561,0.3333333333333333,0.3421052631578948
2010,Bolton,1.7894736842105263,1.263157894736842,0.9473684210526315,1.6842105263157894,1.368421052631579,1.4736842105263157,0.6140350877192983,0.19298245614035087,0.40350877192982465
2010,Chelsea,2.0526315789473686,0.6842105263157895,1.5789473684210527,1.0526315789473684,1.8157894736842106,0.868421052631579,0.7894736842105263,0.45614035087719296,0.6228070175438595
2010,Everton,1.631578947368421,1.2105263157894737,1.0526315789473684,1.1578947368421053,1.3421052631578947,1.1842105263157894,0.5964912280701755,0.3508771929824561,0.4736842105263159
2010,Fulham,1.5789473684210527,1.2105263157894737,1.0,1.0526315789473684,1.2894736842105263,1.131578947368421,0.543859649122807,0.3157894736842105,0.42982456140350894
2010,Liverpool,1.9473684210526316,0.7368421052631579,1.1578947368421053,1.5789473684210527,1.5526315789473684,1.1578947368421053,0.7017543859649124,0.31578947368421045,0.5087719298245613
2010,Man City,1.7894736842105263,0.631578947368421,1.368421052631579,1.105263157894737,1.5789473684210527,0.868421052631579,0.7543859649122807,0.4912280701754385,0.6228070175438596
